,Eruption Number,dt,year
0,15105,1951-01-17,1951
1,18626,1951-01-29,1951
2,15758,1951-02-11,1951
3,18087,1951-02-16,1951
4,15729,1951-03-01,1951
5,14629,1951-03-19,1951
6,20080,1951-04-16,1951
7,17323,1951-05-04,1951
8,14589,1951-05-16,1951
9,10374,1951-05-22,1951
10,19632,1951-05-27,1951
11,13136,1951-06-12,1951
12,14523,1951-06-16,1951
13,15759,1951-06-26,1951
14,11725,1951-07-02,1951
15,16591,1951-07-02,1951
16,16445,1951-07-02,1951
17,16320,1951-07-02,1951
18,18757,1951-07-15,1951
19,18431,1951-07-15,1951
20,10923,1951-07-15,1951
21,11059,1951-07-16,1951
22,20209,1951-07-22,1951
23,10342,1951-07-23,1951
24,14058,1951-07-25,1951
25,18627,1951-07-28,1951
26,18492,1951-08-16,1951
27,14782,1951-08-21,1951
28,15955,1951-08-31,1951
29,14349,1951-09-10,1951
30,13787,1951-09-21,1951
31,20133,1951-10-16,1951
32,20019,1951-10-16,1951
33,15198,1951-10-23,1951
34,16344,1951-11-12,1951
35,11857,1951-11-16,1951
36,14059,1951-11-16,1951
37,19443,1951-11-19,1951
38,15151,1951-12-01,1951
39,16336,1951-12-15,1951
40,19986,1951-12-20,1951
41,18772,1952-01-15,1952
42,15512,1952-01-16,1952
43,19684,1952-01-17,1952
44,14199,1952-02-10,1952
45,16519,1952-02-16,1952
46,15128,1952-02-29,1952
47,16876,1952-03-16,1952
48,11165,1952-03-23,1952
49,16345,1952-03-24,1952
50,15546,1952-04-01,1952
51,15152,1952-04-16,1952
52,16172,1952-04-22,1952
53,14350,1952-05-19,1952
54,17798,1952-06-07,1952
55,10088,1952-06-27,1952
56,16468,1952-07-02,1952
57,15676,1952-07-04,1952
58,16592,1952-07-16,1952
59,14630,1952-07-16,1952
60,17864,1952-07-16,1952
61,10379,1952-08-01,1952
62,15263,1952-08-10,1952
63,15961,1952-08-15,1952
64,18651,1952-08-17,1952
65,18316,1952-09-16,1952
66,15339,1952-10-03,1952
67,15602,1952-10-10,1952
68,10972,1952-10-23,1952
69,18493,1952-10-26,1952
70,18844,1952-11-05,1952
71,17623,1952-11-12,1952
72,19177,1952-11-16,1952
73,14592,1952-11-29,1952
74,17640,1952-12-05,1952
75,16136,1953-01-31,1953
76,15340,1953-02-12,1953
77,15325,1953-02-12,1953
78,20226,1953-02-15,1953
79,20210,1953-02-17,1953
80,15908,1953-03-02,1953
81,14351,1953-03-13,1953
82,15603,1953-03-17,1953
83,16242,1953-03-19,1953
84,15782,1953-03-24,1953
85,10717,1953-04-09,1953
86,14917,1953-04-16,1953
87,17325,1953-04-27,1953
88,14959,1953-05-08,1953
89,15264,1953-05-16,1953
90,19444,1953-06-07,1953
91,16359,1953-06-16,1953
