,Eruption Number,dt
0,15105,1951-01-17
1,18626,1951-01-29
2,15758,1951-02-11
3,18087,1951-02-16
4,15729,1951-03-01
5,14629,1951-03-19
6,20080,1951-04-16
7,17323,1951-05-04
8,14589,1951-05-16
9,10374,1951-05-22
10,19632,1951-05-27
11,13136,1951-06-12
12,14523,1951-06-16
13,15759,1951-06-26
14,11725,1951-07-02
15,16591,1951-07-02
16,16445,1951-07-02
17,16320,1951-07-02
18,18757,1951-07-15
19,18431,1951-07-15
20,10923,1951-07-15
21,11059,1951-07-16
22,20209,1951-07-22
23,10342,1951-07-23
24,14058,1951-07-25
25,18627,1951-07-28
26,18492,1951-08-16
27,14782,1951-08-21
28,15955,1951-08-31
29,14349,1951-09-10
30,13787,1951-09-21
31,20133,1951-10-16
32,20019,1951-10-16
33,15198,1951-10-23
34,16344,1951-11-12
35,11857,1951-11-16
36,14059,1951-11-16
37,19443,1951-11-19
38,15151,1951-12-01
39,16336,1951-12-15
40,19986,1951-12-20
41,18772,1952-01-15
42,15512,1952-01-16
43,19684,1952-01-17
44,14199,1952-02-10
45,16519,1952-02-16
46,15128,1952-02-29
47,16876,1952-03-16
48,11165,1952-03-23
49,16345,1952-03-24
50,15546,1952-04-01
51,15152,1952-04-16
52,16172,1952-04-22
53,14350,1952-05-19
54,17798,1952-06-07
55,10088,1952-06-27
56,16468,1952-07-02
57,15676,1952-07-04
58,16592,1952-07-16
59,14630,1952-07-16
60,17864,1952-07-16
61,10379,1952-08-01
62,15263,1952-08-10
63,15961,1952-08-15
64,18651,1952-08-17
65,18316,1952-09-16
66,15339,1952-10-03
67,15602,1952-10-10
68,10972,1952-10-23
69,18493,1952-10-26
70,18844,1952-11-05
71,17623,1952-11-12
72,19177,1952-11-16
73,14592,1952-11-29
74,17640,1952-12-05
75,16136,1953-01-31
76,15340,1953-02-12
77,15325,1953-02-12
78,20226,1953-02-15
79,20210,1953-02-17
80,15908,1953-03-02
81,14351,1953-03-13
82,15603,1953-03-17
83,16242,1953-03-19
84,15782,1953-03-24
85,10717,1953-04-09
86,14917,1953-04-16
87,17325,1953-04-27
88,14959,1953-05-08
89,15264,1953-05-16
90,19444,1953-06-07
91,16359,1953-06-16
92,15129,1953-06-16
93,14858,1953-06-27
94,11694,1953-07-02
95,16520,1953-07-02
96,19178,1953-07-02
97,18398,1953-07-02
98,20020,1953-07-02
99,20397,1953-07-09
100,15760,1953-08-16
101,14403,1953-08-20
102,11708,1953-08-27
103,15524,1953-09-04
104,18628,1953-09-14
105,15604,1953-09-21
106,20081,1953-10-04
107,18225,1953-10-05
108,16221,1953-10-15
109,17883,1953-10-24
110,12459,1953-10-30
111,13595,1953-11-16
112,20134,1953-11-25
113,17326,1953-12-16
114,17799,1953-12-27
115,14593,1953-12-28
116,18689,1954-01-07
117,12835,1954-01-15
118,14352,1954-01-16
119,10955,1954-02-16
120,14060,1954-02-21
